Sample,Site,Temperature,Year,Species,Colony
Ah11_30_21,reef,30,21,ahya,Ah11
Ah11_30_22,nursery,30,22,ahya,Ah11
Ah11_34_21,reef,34,21,ahya,Ah11
Ah11_34_22,nursery,34,22,ahya,Ah11
Ah11_37_21,reef,37,21,ahya,Ah11
Ah11_37_22,nursery,37,22,ahya,Ah11
Ah17_30_21,reef,30,21,ahya,Ah17
Ah17_30_22,nursery,30,22,ahya,Ah17
Ah17_34_21,reef,34,21,ahya,Ah17
Ah17_34_22,nursery,34,22,ahya,Ah17
Ah17_37_21,reef,37,21,ahya,Ah17
Ah17_37_22,nursery,37,22,ahya,Ah17
Ah2_30_21,reef,30,21,ahya,Ah2
Ah2_30_22,nursery,30,22,ahya,Ah2
Ah2_34_21,reef,34,21,ahya,Ah2
Ah2_34_22,nursery,34,22,ahya,Ah2
Ah2_37_21,reef,37,21,ahya,Ah2
Ah2_37_22,nursery,37,22,ahya,Ah2
Ah4_30_21,reef,30,21,ahya,Ah4
Ah4_30_22,nursery,30,22,ahya,Ah4
Ah4_34_21,reef,34,21,ahya,Ah4
Ah4_34_22,nursery,34,22,ahya,Ah4
Ah4_37_21,reef,37,21,ahya,Ah4
Ah4_37_22,nursery,37,22,ahya,Ah4
Ah8_30_21,reef,30,21,ahya,Ah8
Ah8_30_22,nursery,30,22,ahya,Ah8
Ah8_34_22,nursery,34,22,ahya,Ah8
Ah8_37_21,reef,37,21,ahya,Ah8
Ah8_37_22,nursery,37,22,ahya,Ah8
