gene_id,Ah11_30_21,Ah11_30_22,Ah11_34_21,Ah11_34_22,Ah17_30_21,Ah17_30_22,Ah17_34_21,Ah17_34_22,Ah2_30_21,Ah2_30_22,Ah2_34_21,Ah2_34_22,Ah4_30_21,Ah4_30_22,Ah4_34_21,Ah4_34_22,Ah8_30_21,Ah8_30_22,Ah8_34_22
ahya_s0073.g1,3,7,14,45,0,0,0,0,0,0,0,0,0,24,0,7,0,0,0
ahya_s0073.g9,14,0,0,0,5,4,3,0,0,0,0,3,19,4,3,34,0,0,6
ahya_s0073.g7,34,39,2,30,0,0,0,0,0,0,0,0,5,69,0,36,20,9,0
ahya_s0073.g10,97,41,37,65,201,36,49,11,49,31,0,15,0,213,30,309,22,20,15
ahya_s0073.g2,0,0,0,20,0,0,0,15,0,10,0,14,0,23,0,14,10,7,21
ahya_s0073.g3,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
ahya_s0073.g4,0,4,0,8,7,0,4,0,0,7,0,0,0,27,0,9,0,0,0
ahya_s0073.g5,0,3,0,0,0,0,7,0,0,2,0,2,0,3,0,0,0,2,1
ahya_s0340.g1,1857,1595,126,393,5776,435,6767,12,0,501,33,54,54,0,38,4,1345,3171,4021
ahya_s0340.g2,128,36,85,38,2176,5,1451,0,0,0,0,5,17,7,0,31,2449,146,166
ahya_s0073.g45,36,33,7,127,38,196,12,202,0,237,0,142,0,33,10,32,21,303,217
ahya_s0073.g46,72,13,0,12,6,49,0,22,4,30,0,22,2,70,0,17,0,10,17
ahya_s0073.g47,1,7,0,23,0,2,0,0,0,9,0,12,0,0,0,0,0,4,0
ahya_s0073.g48,19,47,25,109,0,3,0,0,0,0,0,0,0,0,6,0,0,22,26
ahya_s1845.g1,35,24,18,117,101,330,149,336,152,352,247,449,390,197,69,523,0,155,272
ahya_s0073.g49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ahya_s0073.g50,0,10,0,55,0,40,6,39,0,30,0,40,16,26,13,19,0,23,13
ahya_s0073.g51,8,7,88,159,104,44,78,811,46,46,420,779,392,3362,0,4223,381,70,354
ahya_s0073.g52,11,0,0,4,15,3,24,5,0,0,0,5,36,409,0,386,167,3,23
ahya_s0731.g2,131,95,67,340,103,203,156,169,19,124,51,183,337,125,80,291,27,121,145
ahya_s0731.g1,5946,2415,1902,4403,2718,3907,3629,2467,2711,3867,4443,2827,2075,1586,1406,2080,2349,2592,2931
ahya_s0073.g11,0,4,0,0,13,6,10,7,0,3,0,7,0,27,0,14,10,3,8
ahya_s0073.g13,0,0,0,0,0,0,0,0,0,0,0,0,210,5,86,0,0,9,11
ahya_s0073.g21,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7
ahya_s0073.g23,0,0,0,0,0,6,12,0,0,0,0,0,0,0,0,0,0,0,1
ahya_s0073.g25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ahya_s0073.g26,0,0,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
ahya_s0073.g28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ahya_s0073.g29,0,0,0,4,0,27,18,22,0,20,0,14,0,3,0,7,14,15,16
ahya_s0073.g32,0,0,16,9,0,15,0,7,0,5,0,12,3,61,6,17,0,0,2
ahya_s0073.g35,0,0,0,0,15,10,4,0,0,0,38,0,0,73,15,87,3,57,15
ahya_s0073.g37,0,2,0,6,0,5,10,2,0,2,0,0,0,142,0,245,3,3,2
ahya_s0073.g38,0,10,0,17,19,4,0,0,13,10,0,10,0,13,0,11,0,12,8
ahya_s0073.g40,0,0,0,4,0,36,0,2,0,10,0,9,0,0,0,0,0,0,7
ahya_s0073.g12,36,4,0,8,87,12,79,5,0,18,0,9,11,54,21,56,18,19,19
ahya_s0073.g14,5,10,0,18,0,2,0,3,0,0,0,3,0,38,0,79,0,38,85
ahya_s0073.g15,1744,2001,173,2645,1156,1901,2301,6908,247,1673,1325,4373,3680,3338,531,7253,396,3897,5067
ahya_s0073.g16,4402,3631,1745,4682,2532,3218,8259,7837,843,3117,1694,5423,10592,6775,2610,14164,5242,8040,9275
ahya_s0073.g17,166,163,132,277,101,354,161,506,50,348,170,395,1127,564,595,760,230,364,339
ahya_s0073.g18,133,69,42,214,29,8,0,0,0,0,0,0,11,0,3,10,0,0,0
ahya_s0073.g19,1341,1360,490,2710,1215,1616,649,1379,315,1701,416,1520,129,425,46,390,171,255,264
ahya_s0073.g20,136,91,16,371,264,285,128,250,79,287,390,317,206,166,142,433,28,281,457
ahya_s0073.g22,89,55,28,57,247,358,70,116,0,388,23,153,22,168,30,53,0,140,52
ahya_s0073.g24,13,12,5,45,0,15,0,9,0,27,0,7,12,0,1,0,0,17,17
ahya_s0073.g27,3,0,1,13,0,10,0,3,0,11,0,9,7,0,0,3,0,0,0
ahya_s0073.g30,223,57,35,159,86,0,45,0,0,0,0,0,67,53,5,61,45,3,3
